table_id,dept,prov,dist,eligible_voters,total_voters
033395,LIMA,LIMA,LIMA,300,221
033396,LIMA,LIMA,LIMA,300,226
033397,LIMA,LIMA,LIMA,300,243
033398,LIMA,LIMA,LIMA,300,242
033399,LIMA,LIMA,LIMA,300,233
033400,LIMA,LIMA,LIMA,300,242
033401,LIMA,LIMA,LIMA,300,226
033402,LIMA,LIMA,LIMA,300,214
033403,LIMA,LIMA,LIMA,300,236
033404,LIMA,LIMA,LIMA,300,235
033405,LIMA,LIMA,LIMA,300,241
033406,LIMA,LIMA,LIMA,300,218
033407,LIMA,LIMA,LIMA,300,238
033408,LIMA,LIMA,LIMA,300,236
033409,LIMA,LIMA,LIMA,300,230
033410,LIMA,LIMA,LIMA,300,233
033411,LIMA,LIMA,LIMA,300,240
033412,LIMA,LIMA,LIMA,300,226
033413,LIMA,LIMA,LIMA,300,230
033414,LIMA,LIMA,LIMA,300,252
033415,LIMA,LIMA,LIMA,300,226
033416,LIMA,LIMA,LIMA,300,233
033417,LIMA,LIMA,LIMA,300,244
033418,LIMA,LIMA,LIMA,300,226
033419,LIMA,LIMA,LIMA,300,248
033420,LIMA,LIMA,LIMA,300,234
033421,LIMA,LIMA,LIMA,300,223
033422,LIMA,LIMA,LIMA,300,240
033423,LIMA,LIMA,LIMA,300,223
033424,LIMA,LIMA,LIMA,300,225
033425,LIMA,LIMA,LIMA,300,230
033426,LIMA,LIMA,LIMA,300,217
033427,LIMA,LIMA,LIMA,300,229
033428,LIMA,LIMA,LIMA,300,300
033429,LIMA,LIMA,LIMA,300,231
033430,LIMA,LIMA,LIMA,300,240
033431,LIMA,LIMA,LIMA,300,227
033432,LIMA,LIMA,LIMA,300,222
033433,LIMA,LIMA,LIMA,300,228
033434,LIMA,LIMA,LIMA,300,227
033435,LIMA,LIMA,LIMA,300,229
033436,LIMA,LIMA,LIMA,300,235
033437,LIMA,LIMA,LIMA,300,227
033438,LIMA,LIMA,LIMA,300,232
033439,LIMA,LIMA,LIMA,300,222
033440,LIMA,LIMA,LIMA,300,198
033441,LIMA,LIMA,LIMA,300,210
033442,LIMA,LIMA,LIMA,300,204
033443,LIMA,LIMA,LIMA,300,186
033444,LIMA,LIMA,LIMA,300,192
033445,LIMA,LIMA,LIMA,300,202
033446,LIMA,LIMA,LIMA,300,198
033447,LIMA,LIMA,LIMA,300,222
033448,LIMA,LIMA,LIMA,300,207
033449,LIMA,LIMA,LIMA,300,219
033450,LIMA,LIMA,LIMA,300,220
033451,LIMA,LIMA,LIMA,300,215
033452,LIMA,LIMA,LIMA,300,200
033453,LIMA,LIMA,LIMA,300,210
033454,LIMA,LIMA,LIMA,300,205
033455,LIMA,LIMA,LIMA,300,224
033456,LIMA,LIMA,LIMA,300,221
033457,LIMA,LIMA,LIMA,300,217
033458,LIMA,LIMA,LIMA,300,212
033459,LIMA,LIMA,LIMA,300,209
033460,LIMA,LIMA,LIMA,300,226
033461,LIMA,LIMA,LIMA,300,196
033462,LIMA,LIMA,LIMA,300,209
033463,LIMA,LIMA,LIMA,300,198
033464,LIMA,LIMA,LIMA,300,209
033465,LIMA,LIMA,LIMA,300,216
033466,LIMA,LIMA,LIMA,300,203
033467,LIMA,LIMA,LIMA,300,201
033468,LIMA,LIMA,LIMA,300,212
033469,LIMA,LIMA,LIMA,300,217
033470,LIMA,LIMA,LIMA,300,205
033471,LIMA,LIMA,LIMA,300,200
033472,LIMA,LIMA,LIMA,300,216
033473,LIMA,LIMA,LIMA,300,199
033474,LIMA,LIMA,LIMA,300,216
033475,LIMA,LIMA,LIMA,300,222
033476,LIMA,LIMA,LIMA,300,216
033477,LIMA,LIMA,LIMA,300,210
033478,LIMA,LIMA,LIMA,300,212
033479,LIMA,LIMA,LIMA,300,212
033480,LIMA,LIMA,LIMA,300,221
033481,LIMA,LIMA,LIMA,300,210
033482,LIMA,LIMA,LIMA,300,210
033483,LIMA,LIMA,LIMA,300,214
033484,LIMA,LIMA,LIMA,300,211
033485,LIMA,LIMA,LIMA,300,198
033486,LIMA,LIMA,LIMA,300,197
033487,LIMA,LIMA,LIMA,300,209
033488,LIMA,LIMA,LIMA,300,197
