table_id,dept,prov,dist,eligible_voters,total_voters
29712,LIMA,LIMA,COMAS,192,184
29733,LIMA,LIMA,LIMA,193,178
30001,LIMA,LIMA,LIMA,228,196
30002,LIMA,LIMA,LIMA,229,208
30003,LIMA,LIMA,LIMA,229,202
30004,LIMA,LIMA,LIMA,229,195
30005,LIMA,LIMA,LIMA,230,204
30006,LIMA,LIMA,LIMA,227,200
30007,LIMA,LIMA,LIMA,230,207
30008,LIMA,LIMA,LIMA,230,207
30009,LIMA,LIMA,LIMA,228,208
30010,LIMA,LIMA,LIMA,229,207
30011,LIMA,LIMA,LIMA,229,205
30012,LIMA,LIMA,LIMA,230,203
30013,LIMA,LIMA,LIMA,228,196
30014,LIMA,LIMA,LIMA,229,201
30015,LIMA,LIMA,LIMA,231,196
30016,LIMA,LIMA,LIMA,230,196
30017,LIMA,LIMA,LIMA,230,209
30018,LIMA,LIMA,LIMA,231,211
30019,LIMA,LIMA,LIMA,229,207
30020,LIMA,LIMA,LIMA,229,206
30021,LIMA,LIMA,LIMA,208,188
30022,LIMA,LIMA,LIMA,205,190
30023,LIMA,LIMA,LIMA,206,184
30024,LIMA,LIMA,LIMA,207,182
30025,LIMA,LIMA,LIMA,204,187
30026,LIMA,LIMA,LIMA,209,177
30027,LIMA,LIMA,LIMA,205,180
30028,LIMA,LIMA,LIMA,207,175
30029,LIMA,LIMA,LIMA,213,180
30030,LIMA,LIMA,LIMA,206,182
30031,LIMA,LIMA,LIMA,208,188
30032,LIMA,LIMA,LIMA,212,181
30033,LIMA,LIMA,LIMA,207,186
30034,LIMA,LIMA,LIMA,208,181
30035,LIMA,LIMA,LIMA,209,181
30036,LIMA,LIMA,LIMA,209,181
30037,LIMA,LIMA,LIMA,204,183
30038,LIMA,LIMA,LIMA,213,186
30039,LIMA,LIMA,LIMA,214,187
30040,LIMA,LIMA,LIMA,209,179
30041,LIMA,LIMA,LIMA,204,184
30042,LIMA,LIMA,LIMA,188,171
30043,LIMA,LIMA,LIMA,206,180
30044,LIMA,LIMA,LIMA,187,170
30045,LIMA,LIMA,LIMA,206,185
30046,LIMA,LIMA,LIMA,207,179
30047,LIMA,LIMA,LIMA,206,173
30048,LIMA,LIMA,LIMA,204,186
30049,LIMA,LIMA,LIMA,209,189
30050,LIMA,LIMA,LIMA,207,177
30051,LIMA,LIMA,LIMA,208,184
30052,LIMA,LIMA,LIMA,209,183
30053,LIMA,LIMA,LIMA,206,182
30054,LIMA,LIMA,LIMA,208,172
30055,LIMA,LIMA,LIMA,204,180
30056,LIMA,LIMA,LIMA,206,185
30057,LIMA,LIMA,LIMA,205,186
30086,LIMA,LIMA,LIMA,199,153
30087,LIMA,LIMA,LIMA,199,170
30093,LIMA,LIMA,LIMA,201,170
30094,LIMA,LIMA,LIMA,203,172
30095,LIMA,LIMA,LIMA,202,160
30100,LIMA,LIMA,LIMA,200,171
30111,LIMA,LIMA,LIMA,200,160
30112,LIMA,LIMA,LIMA,203,170
30115,LIMA,LIMA,LIMA,205,165
30118,LIMA,LIMA,LIMA,200,154
30120,LIMA,LIMA,LIMA,206,177
30131,LIMA,LIMA,LIMA,171,149
30132,LIMA,LIMA,LIMA,250,217
30133,LIMA,LIMA,LIMA,171,145
30134,LIMA,LIMA,LIMA,173,153
30139,LIMA,LIMA,LIMA,248,207
30140,LIMA,LIMA,LIMA,250,223
30141,LIMA,LIMA,LIMA,173,153
30142,LIMA,LIMA,LIMA,178,159
30143,LIMA,LIMA,LIMA,182,164
30144,LIMA,LIMA,LIMA,182,166
30145,LIMA,LIMA,LIMA,178,151
30157,LIMA,LIMA,LIMA,171,146
30161,LIMA,LIMA,LIMA,249,215
30162,LIMA,LIMA,LIMA,248,208
30167,LIMA,LIMA,LIMA,245,207
30169,LIMA,LIMA,LIMA,172,152
30171,LIMA,LIMA,LIMA,246,214
30172,LIMA,LIMA,LIMA,249,218
30174,LIMA,LIMA,LIMA,173,150
30176,LIMA,LIMA,LIMA,172,148
30179,LIMA,LIMA,LIMA,173,156
30180,LIMA,LIMA,LIMA,172,150
30182,LIMA,LIMA,LIMA,174,161
30183,LIMA,LIMA,LIMA,172,151
30184,LIMA,LIMA,LIMA,87,80
30186,LIMA,LIMA,LIMA,174,152
30188,LIMA,LIMA,LIMA,173,162
30196,LIMA,LIMA,LIMA,189,168
30197,LIMA,LIMA,LIMA,195,172
30198,LIMA,LIMA,LIMA,188,163
30199,LIMA,LIMA,LIMA,186,160
30200,LIMA,LIMA,LIMA,189,160
30201,LIMA,LIMA,LIMA,186,163
30202,LIMA,LIMA,LIMA,194,162
30203,LIMA,LIMA,LIMA,94,79
30204,LIMA,LIMA,LIMA,190,168
30205,LIMA,LIMA,LIMA,201,175
30211,LIMA,LIMA,LIMA,188,165
30222,LIMA,LIMA,LIMA,189,159
30229,LIMA,LIMA,LIMA,245,217
30231,LIMA,LIMA,LIMA,246,213
30234,LIMA,LIMA,LIMA,250,223
30237,LIMA,LIMA,LIMA,245,210
30238,LIMA,LIMA,LIMA,245,208
30239,LIMA,LIMA,LIMA,246,209
30240,LIMA,LIMA,LIMA,242,219
30241,LIMA,LIMA,LIMA,168,143
30249,LIMA,LIMA,LIMA,244,210
30258,LIMA,LIMA,LIMA,246,210
