table_id,department,province,district,installation_time,eligible_voters,total_voted,rp,jpp
036023,LIMA,LIMA,LIMA,07:59 a. m.,300,224,35,2
036027,LIMA,LIMA,LIMA,07:13 a. m.,300,227,33,4
036047,LIMA,LIMA,LIMA,07:25 a. m.,300,244,42,4
036016,LIMA,LIMA,LIMA,07:25 a. m.,300,233,38,2
036029,LIMA,LIMA,LIMA,08:40 a. m.,300,240,38,3
036009,LIMA,LIMA,LIMA,07:47 a. m.,300,216,39,3
036017,LIMA,LIMA,LIMA,07:30 a. m.,300,207,34,6
036034,LIMA,LIMA,LIMA,07:28 a. m.,300,246,39,2
036068,LIMA,LIMA,LIMA,07:54 a. m.,300,236,58,6
036001,LIMA,LIMA,LIMA,08:07 a. m.,300,229,44,3
036070,LIMA,LIMA,LIMA,07:51 a. m.,300,246,52,9
036071,LIMA,LIMA,LIMA,08:17 a. m.,300,232,59,2
036073,LIMA,LIMA,LIMA,07:31 a. m.,300,239,55,8
036072,LIMA,LIMA,LIMA,07:26 a. m.,300,240,55,2
036074,LIMA,LIMA,LIMA,08:03 a. m.,300,236,48,5
036075,LIMA,LIMA,LIMA,07:31 a. m.,300,246,52,6
036077,LIMA,LIMA,LIMA,08:03 a. m.,300,238,63,5
036076,LIMA,LIMA,LIMA,08:00 a. m.,300,209,37,5
036078,LIMA,LIMA,LIMA,08:05 a. m.,300,221,49,5
036079,LIMA,LIMA,LIMA,08:17 a. m.,300,230,56,2
036081,LIMA,LIMA,LIMA,07:50 a. m.,230,173,28,3
036080,LIMA,LIMA,LIMA,08:35 a. m.,300,237,52,2
036082,LIMA,LIMA,LIMA,07:37 a. m.,230,164,28,2
036085,LIMA,LIMA,LIMA,08:00 a. m.,300,220,36,6
036084,LIMA,LIMA,LIMA,07:20 a. m.,300,227,49,7
036086,LIMA,LIMA,LIMA,07:31 a. m.,300,217,32,6
036087,LIMA,LIMA,LIMA,08:00 a. m.,300,233,30,2
036088,LIMA,LIMA,LIMA,07:30 a. m.,300,241,37,7
036089,LIMA,LIMA,LIMA,07:05 a. m.,300,227,64,3
036090,LIMA,LIMA,LIMA,07:05 a. m.,300,219,26,3
036091,LIMA,LIMA,LIMA,07:43 a. m.,300,224,37,5
036092,LIMA,LIMA,LIMA,08:21 a. m.,300,216,32,7
036093,LIMA,LIMA,LIMA,07:30 a. m.,300,221,36,6
036094,LIMA,LIMA,LIMA,07:30 a. m.,300,221,42,3
036096,LIMA,LIMA,LIMA,07:33 a. m.,300,225,43,6
036095,LIMA,LIMA,LIMA,07:15 a. m.,300,228,29,4
036097,LIMA,LIMA,LIMA,07:27 a. m.,300,221,35,6
036100,LIMA,LIMA,LIMA,07:26 a. m.,300,247,34,3
036098,LIMA,LIMA,LIMA,07:41 a. m.,300,209,44,4
036099,LIMA,LIMA,LIMA,07:13 a. m.,300,239,35,6
036101,LIMA,LIMA,LIMA,07:40 a. m.,300,233,30,10
036102,LIMA,LIMA,LIMA,07:54 a. m.,300,219,32,4
036104,LIMA,LIMA,LIMA,07:36 a. m.,300,219,27,5
036103,LIMA,LIMA,LIMA,08:07 a. m.,300,214,35,5
036105,LIMA,LIMA,LIMA,07:20 a. m.,300,223,35,7
036107,LIMA,LIMA,LIMA,07:17 a. m.,300,225,25,10
036106,LIMA,LIMA,LIMA,08:04 a. m.,300,225,43,2
036108,LIMA,LIMA,LIMA,07:23 a. m.,300,228,37,4
036109,LIMA,LIMA,LIMA,07:15 a. m.,230,148,25,1
036112,LIMA,LIMA,LIMA,07:45 a. m.,300,201,38,8
036110,LIMA,LIMA,LIMA,07:22 a. m.,300,219,32,3
036111,LIMA,LIMA,LIMA,07:49 a. m.,300,222,40,1
036113,LIMA,LIMA,LIMA,07:15 a. m.,300,218,51,4
036115,LIMA,LIMA,LIMA,07:17 a. m.,300,205,43,4
036114,LIMA,LIMA,LIMA,07:45 a. m.,300,216,42,2
036116,LIMA,LIMA,LIMA,07:20 a. m.,300,201,31,4
036119,LIMA,LIMA,LIMA,07:20 a. m.,300,209,41,1
036118,LIMA,LIMA,LIMA,07:42 a. m.,300,237,28,1
036117,LIMA,LIMA,LIMA,07:34 a. m.,300,210,34,2
036122,LIMA,LIMA,LIMA,07:30 a. m.,300,230,41,6
036120,LIMA,LIMA,LIMA,08:10 a. m.,300,209,38,2
036125,LIMA,LIMA,LIMA,07:00 a. m.,300,234,51,8
036124,LIMA,LIMA,LIMA,07:10 a. m.,300,222,48,2
036123,LIMA,LIMA,LIMA,07:54 a. m.,230,173,30,4
036126,LIMA,LIMA,LIMA,07:00 a. m.,300,234,39,4
036127,LIMA,LIMA,LIMA,07:00 a. m.,300,233,40,3
036129,LIMA,LIMA,LIMA,08:00 a. m.,300,218,34,5
036131,LIMA,LIMA,LIMA,07:53 a. m.,300,235,41,4
036128,LIMA,LIMA,LIMA,08:00 a. m.,300,227,37,4
036130,LIMA,LIMA,LIMA,07:05 a. m.,230,174,33,6
036134,LIMA,LIMA,LIMA,07:50 a. m.,300,235,39,2
036133,LIMA,LIMA,LIMA,07:20 a. m.,300,241,37,5
036136,LIMA,LIMA,LIMA,07:41 a. m.,300,229,43,4
036135,LIMA,LIMA,LIMA,07:37 a. m.,300,233,48,2
036138,LIMA,LIMA,LIMA,07:26 a. m.,300,227,53,5
036137,LIMA,LIMA,LIMA,07:36 a. m.,300,238,45,6
036139,LIMA,LIMA,LIMA,08:15 a. m.,300,222,47,5
036141,LIMA,LIMA,LIMA,08:09 a. m.,300,243,34,6
036142,LIMA,LIMA,LIMA,07:51 a. m.,300,238,31,3
036140,LIMA,LIMA,LIMA,07:35 a. m.,230,184,19,3
036143,LIMA,LIMA,LIMA,09:28 a. m.,300,233,35,5
036145,LIMA,LIMA,LIMA,08:46 a. m.,300,245,30,5
036144,LIMA,LIMA,LIMA,08:07 a. m.,300,237,35,6
036146,LIMA,LIMA,LIMA,08:08 a. m.,300,244,36,7
036148,LIMA,LIMA,LIMA,08:18 a. m.,300,225,36,6
036147,LIMA,LIMA,LIMA,07:37 a. m.,300,235,35,6
036152,LIMA,LIMA,LIMA,09:20 a. m.,230,165,28,9
036149,LIMA,LIMA,LIMA,08:08 a. m.,300,231,29,4
036150,LIMA,LIMA,LIMA,07:45 a. m.,300,233,33,3
036151,LIMA,LIMA,LIMA,07:30 a. m.,300,228,34,6
036154,LIMA,LIMA,LIMA,09:06 a. m.,300,247,34,4
036155,LIMA,LIMA,LIMA,09:15 a. m.,300,251,59,6
036153,LIMA,LIMA,LIMA,09:20 a. m.,300,247,33,6
036158,LIMA,LIMA,LIMA,09:10 a. m.,300,228,46,5
036161,LIMA,LIMA,LIMA,09:40 a. m.,300,250,35,4
036157,LIMA,LIMA,LIMA,09:30 a. m.,300,238,28,3
036159,LIMA,LIMA,LIMA,09:28 a. m.,300,244,34,4
036165,LIMA,LIMA,LIMA,07:55 a. m.,300,225,31,8
036162,LIMA,LIMA,LIMA,09:35 a. m.,300,239,44,3
036168,LIMA,LIMA,LIMA,07:00 a. m.,300,233,33,3
036160,LIMA,LIMA,LIMA,09:20 a. m.,300,245,40,4
036166,LIMA,LIMA,LIMA,08:08 a. m.,300,224,34,3
036173,LIMA,LIMA,LIMA,07:00 a. m.,300,226,38,2
036167,LIMA,LIMA,LIMA,07:00 a. m.,300,225,32,4
036174,LIMA,LIMA,LIMA,07:00 a. m.,300,231,37,4
036186,LIMA,LIMA,LIMA,07:45 a. m.,300,257,68,4
036182,LIMA,LIMA,LIMA,07:53 a. m.,300,242,56,1
036183,LIMA,LIMA,LIMA,07:32 a. m.,300,246,70,3
036184,LIMA,LIMA,LIMA,07:46 a. m.,300,256,58,0
036181,LIMA,LIMA,LIMA,07:20 a. m.,230,174,51,1
036187,LIMA,LIMA,LIMA,07:38 a. m.,300,239,57,0
036185,LIMA,LIMA,LIMA,09:11 a. m.,300,238,52,4
036188,LIMA,LIMA,LIMA,08:10 a. m.,300,231,47,2
036189,LIMA,LIMA,LIMA,07:24 a. m.,300,243,56,2
036192,LIMA,LIMA,LIMA,07:05 a. m.,300,250,58,1
036190,LIMA,LIMA,LIMA,07:10 a. m.,300,240,62,4
036195,LIMA,LIMA,LIMA,08:22 a. m.,300,242,57,4
036193,LIMA,LIMA,LIMA,07:02 a. m.,300,237,48,3
