table_id,dept,prov,dist,eligible_voters,total_voters
030289,LIMA,LIMA,LIMA,291,282
030290,LIMA,LIMA,LIMA,291,278
030291,LIMA,LIMA,LIMA,291,277
030292,LIMA,LIMA,LIMA,291,275
030293,LIMA,LIMA,LIMA,291,281
030294,LIMA,LIMA,LIMA,291,285
030295,LIMA,LIMA,LIMA,291,289
030296,LIMA,LIMA,LIMA,291,283
030297,LIMA,LIMA,LIMA,291,283
030298,LIMA,LIMA,LIMA,291,283
030299,LIMA,LIMA,LIMA,291,279
030300,LIMA,LIMA,LIMA,291,277
030301,LIMA,LIMA,LIMA,286,284
030302,LIMA,LIMA,LIMA,283,235
030303,LIMA,LIMA,LIMA,283,239
030304,LIMA,LIMA,LIMA,283,237
030305,LIMA,LIMA,LIMA,283,241
030306,LIMA,LIMA,LIMA,283,242
030307,LIMA,LIMA,LIMA,283,241
030308,LIMA,LIMA,LIMA,283,256
030309,LIMA,LIMA,LIMA,283,242
030310,LIMA,LIMA,LIMA,283,234
030311,LIMA,LIMA,LIMA,283,234
030312,LIMA,LIMA,LIMA,283,230
030313,LIMA,LIMA,LIMA,283,234
030314,LIMA,LIMA,LIMA,283,247
030315,LIMA,LIMA,LIMA,283,232
030316,LIMA,LIMA,LIMA,283,237
030317,LIMA,LIMA,LIMA,283,230
030318,LIMA,LIMA,LIMA,280,225
030319,LIMA,LIMA,LIMA,299,249
030320,LIMA,LIMA,LIMA,299,243
030321,LIMA,LIMA,LIMA,299,251
030322,LIMA,LIMA,LIMA,299,253
030323,LIMA,LIMA,LIMA,299,249
030324,LIMA,LIMA,LIMA,299,245
030325,LIMA,LIMA,LIMA,299,246
030326,LIMA,LIMA,LIMA,299,248
030327,LIMA,LIMA,LIMA,299,233
030328,LIMA,LIMA,LIMA,299,237
030329,LIMA,LIMA,LIMA,299,235
030330,LIMA,LIMA,LIMA,299,253
030331,LIMA,LIMA,LIMA,299,236
030332,LIMA,LIMA,LIMA,299,246
030333,LIMA,LIMA,LIMA,299,247
030334,LIMA,LIMA,LIMA,299,245
030335,LIMA,LIMA,LIMA,299,249
030336,LIMA,LIMA,LIMA,299,232
030337,LIMA,LIMA,LIMA,299,238
030338,LIMA,LIMA,LIMA,285,230
030339,LIMA,LIMA,LIMA,300,259
030340,LIMA,LIMA,LIMA,300,251
030341,LIMA,LIMA,LIMA,300,267
030342,LIMA,LIMA,LIMA,300,264
030343,LIMA,LIMA,LIMA,300,261
030344,LIMA,LIMA,LIMA,300,249
030345,LIMA,LIMA,LIMA,300,246
030346,LIMA,LIMA,LIMA,300,257
030347,LIMA,LIMA,LIMA,300,258
030348,LIMA,LIMA,LIMA,300,262
030349,LIMA,LIMA,LIMA,300,253
030350,LIMA,LIMA,LIMA,300,257
030351,LIMA,LIMA,LIMA,300,262
030352,LIMA,LIMA,LIMA,300,250
030353,LIMA,LIMA,LIMA,300,249
030354,LIMA,LIMA,LIMA,300,259
030355,LIMA,LIMA,LIMA,300,248
030356,LIMA,LIMA,LIMA,300,268
030357,LIMA,LIMA,LIMA,299,266
030358,LIMA,LIMA,LIMA,292,234
030359,LIMA,LIMA,LIMA,292,238
030360,LIMA,LIMA,LIMA,292,220
030361,LIMA,LIMA,LIMA,292,234
030362,LIMA,LIMA,LIMA,292,232
030363,LIMA,LIMA,LIMA,292,229
030364,LIMA,LIMA,LIMA,292,224
030365,LIMA,LIMA,LIMA,292,242
030366,LIMA,LIMA,LIMA,292,234
030367,LIMA,LIMA,LIMA,292,233
030368,LIMA,LIMA,LIMA,292,226
030369,LIMA,LIMA,LIMA,292,231
030370,LIMA,LIMA,LIMA,292,224
030371,LIMA,LIMA,LIMA,292,222
030372,LIMA,LIMA,LIMA,292,230
030373,LIMA,LIMA,LIMA,292,219
030374,LIMA,LIMA,LIMA,292,233
030375,LIMA,LIMA,LIMA,292,244
030376,LIMA,LIMA,LIMA,284,212
030377,LIMA,LIMA,LIMA,289,270
030378,LIMA,LIMA,LIMA,289,264
030379,LIMA,LIMA,LIMA,289,264
030380,LIMA,LIMA,LIMA,289,266
030381,LIMA,LIMA,LIMA,289,267
030382,LIMA,LIMA,LIMA,289,259
030383,LIMA,LIMA,LIMA,289,271
030384,LIMA,LIMA,LIMA,289,270
030385,LIMA,LIMA,LIMA,289,267
030386,LIMA,LIMA,LIMA,289,262
030387,LIMA,LIMA,LIMA,289,252
030388,LIMA,LIMA,LIMA,289,265
030389,LIMA,LIMA,LIMA,289,265
030390,LIMA,LIMA,LIMA,289,264
030391,LIMA,LIMA,LIMA,289,266
030392,LIMA,LIMA,LIMA,289,269
030393,LIMA,LIMA,LIMA,289,267
030394,LIMA,LIMA,LIMA,289,264
030395,LIMA,LIMA,LIMA,289,265
030396,LIMA,LIMA,LIMA,289,257
030397,LIMA,LIMA,LIMA,289,268
030398,LIMA,LIMA,LIMA,289,253
030399,LIMA,LIMA,LIMA,289,258
030400,LIMA,LIMA,LIMA,289,265
030401,LIMA,LIMA,LIMA,271,250
030402,LIMA,LIMA,LIMA,292,242
030403,LIMA,LIMA,LIMA,292,225
030404,LIMA,LIMA,LIMA,292,244
030405,LIMA,LIMA,LIMA,292,242
030406,LIMA,LIMA,LIMA,292,245
030407,LIMA,LIMA,LIMA,292,250
030408,LIMA,LIMA,LIMA,292,234
030409,LIMA,LIMA,LIMA,292,252
030410,LIMA,LIMA,LIMA,292,243
030411,LIMA,LIMA,LIMA,292,241
030412,LIMA,LIMA,LIMA,292,242
030413,LIMA,LIMA,LIMA,292,237
030414,LIMA,LIMA,LIMA,292,236
030415,LIMA,LIMA,LIMA,292,252
030416,LIMA,LIMA,LIMA,285,245
030417,LIMA,LIMA,LIMA,300,264
030418,LIMA,LIMA,LIMA,300,264
030419,LIMA,LIMA,LIMA,300,268
030420,LIMA,LIMA,LIMA,300,263
030421,LIMA,LIMA,LIMA,300,260
030422,LIMA,LIMA,LIMA,300,261
030423,LIMA,LIMA,LIMA,300,261
030424,LIMA,LIMA,LIMA,300,268
030425,LIMA,LIMA,LIMA,299,258
030426,LIMA,LIMA,LIMA,300,253
030427,LIMA,LIMA,LIMA,300,243
