hora_label,pred_abs,efecto_marginal,ci_lo,ci_hi
7:00,0.23731230470438613,0,0,0
7:30,0.24314454805896404,0.0058322433545779095,0.0025341370109096626,0.009079746946857386
8:00,0.24523476935929536,0.007922464654909228,0.002349330311991346,0.013923096515823836
8:30,0.2417259159597083,0.004413611255322164,-0.004722106356878989,0.01427057926912228
9:00,0.23830081284882987,9.885081444437338e-4,-0.009721496349152701,0.01310307629296112
9:30,0.24066859200042579,0.0033562872960396506,-0.005135624514808769,0.011671149825071296
10:00,0.24710373569451777,0.009791430990131633,-0.001592955395620038,0.016314267273481054
11:00,0.26253777226123776,0.025225467556851622,0.0050767717895242,0.03601949763455418
12:00,0.27942136202520274,0.0421090573208166,0.013027108228138906,0.06073375558167603
13:00,0.2972713205873309,0.05995901588294478,0.011948668634290692,0.09404366858903168
14:00,0.31560446354854077,0.07829215884415464,0.009440775438141542,0.13080556740356203
